Index,RAP_ID,Transcript_ID,Description,Position,Gene_Symbol,Gene_Name,GO
532,OS02G0122800,Os02t0122800-01 ; Os02t0122800-02,"Similar to Arginine/serine-rich splicing factor. (Os02t0122800-01) Serine/arginine (SR)-rich splicing factor RS33, Regulation of pre-mRNA splicing and abiotic stress responses (Os02t0122800-02)",chr02:1193388..1197056 (- strand),"RS33 ; OsRS33, Os-RS33, OsRSp33, Os-RSp33, RS33, RS33.2, RRM1-22, OsRRM1-22 ; RSP33","RS domain protein 33, RS subfamily protein 33, Serine/arginine-rich splicing factor 33, SR-rich splicing factor 33, RNA recognition motif domain protein 1-22 ; RS domain protein 33",Molecular Function: nucleic acid binding (GO:0003676) RNA binding (GO:0003723)
533,OS02G0140300,Os02t0140300-01,"Homolog of MoaE, Molybdenum cofactor biosynthesis, Seed dormancy and germination, Positive regulator of abiotic stress tolerance (Os02t0140300-01)",chr02:2160093..2161047 (+ strand),OsCNX6 ; CNX6,cofactor for nitrate reductase and xanthine dehydrogenase 6 ; CO-FACTOR FOR NITRATE REDUCTASE AND XANTHINE DEHYDROGENASE 6,Biological Process: Mo-molybdopterin cofactor biosynthetic process (GO:0006777)Molecular Function: molybdopterin synthase activity (GO:0030366)Cellular Component: cytosol (GO:0005829) molybdopterin synthase complex (GO:1990140)
534,OS02G0150700,Os02t0150700-01,"RING finger E3 ligase, Regulation of abiotic stress tolerance (Os02t0150700-01)",chr02:2791281..2795406 (+ strand),"OsDHSRP1 ; OsRFP, OsRING229, RING229","Drought-, Heat-, and Salt-Induced RING Finger Protein 1 ; RING Finger Protein, RING-type E3 ubiquitin ligase 229",Molecular Function: ubiquitin protein ligase activity (GO:0061630)
535,OS02G0184900,Os02t0184900-01,"Cytochrome P450 family member of CYP71 clan, Regulation of growth and abiotic stress responses, Gibberellins and cytokinin homeostasis (Os02t0184900-01)",chr02:4740049..4743113 (+ strand),OsCYP71D8L ; CYP71D8L,Cytochrome P450 71D8L ; CYTOCHROME P450 71D8L,"Molecular Function: heme binding (GO:0020037) iron ion binding (GO:0005506) monooxygenase activity (GO:0004497) oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen (GO:0016705)"
536,OS02G0195600,Os02t0195600-01 ; Os02t0195600-02,"A20/AN1-type zinc finger protein, Regulation of plant growth and abiotic stress response, Modulation of gibberellins (GA) and abscisic acid (ABA) biosynthesis (Os02t0195600-01) Zinc finger, AN1-type domain containing protein. (Os02t0195600-02)",chr02:5345711..5347486 (- strand),"SAP4, OsSAP4, ZFP185 ; OsSAP4 ; SAP4","STRESS ASSOCIATED PROTEIN GENE 4, stress-associated protein 4 ; stress-associated protein 4 ; STRESS ASSOCIATED PROTEIN GENE 4",Molecular Function: DNA binding (GO:0003677) zinc ion binding (GO:0008270)
537,OS02G0234300,Os02t0234300-01,"U-Box E3 ubiquitin ligase, Diurnal rhythm regulation, Abiotic stress response (Os02t0234300-01)",chr02:7612541..7615346 (+ strand),"OsPUB4 ; OsPUB4, OsPUB04, PUB4 ; PUB4","plant U-box 4, plant U-box-containing protein 4, U-box protein 4 ; plant U-box-containing protein 4, U-box protein 4, U-box-type E3 ubiquitin ligase 4 ; PLANT U-BOX-CONTAINING PROTEIN 4",Biological Process: protein ubiquitination (GO:0016567)Molecular Function: protein binding (GO:0005515) ubiquitin-protein transferase activity (GO:0004842)
538,OS02G0290600,Os02t0290600-01 ; Os02t0290600-02,"Prolyl oligopeptidase family protein, Abiotic stress tolerance (Os02t0290600-01) Similar to predicted protein. (Os02t0290600-02)",chr02:10999890..11004650 (- strand),"OsPOP5, POP5","Prolyl Oligopeptidase 5, PROLYL OLIGOPEPTIDASE 5",Biological Process: proteolysis (GO:0006508)Molecular Function: serine-type peptidase activity (GO:0008236)
539,OS02G0512400,Os02t0512400-01,"CC-type glutaredoxin, Abiotic stress response, Floral organ development and pathogen response, Regulation of grain width and weight (Os02t0512400-01)",chr02:18414297..18415320 (+ strand),"GRX8, OsGRX8, OsROXY1, OsROXY2, WG1 ; OsGRX8, OsROXY1, OsROXY2 ; GRX8","GLUTAREDOXIN 8, glutaredoxin 8, WIDE GRAIN 1 ; glutaredoxin 8 ; GLUTAREDOXIN 8",
540,OS02G0576700,Os02t0576700-01,"Nucleosome assembly protein (NAP) family protein, H3/H4 histone chaperone, Abiotic stress response and adaptation (Os02t0576700-01)",chr02:22151598..22156041 (- strand),"OsNAPL6 ; OsNAPL6, NAPL6",,Biological Process: nucleosome assembly (GO:0006334)Cellular Component: nucleus (GO:0005634)
541,OS02G0611200,Os02t0611200-01 ; Os02t0611200-02 ; Os02t0611200-03,"S-adenosylmethionine decarboxylase, Polyamine biosynthesis, Abiotic stress (Os02t0611200-01) Similar to S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50) (AdoMetDC) (SamDC) (Induced stolen tip protein TUB13) [Contains: S- adenosylmethionine decarboxylase alpha chain; S-adenosylmethionine decarboxylase beta chain]. (Os02t0611200-02) Similar to S-adenosylmethionine decarboxylase 2. (Os02t0611200-03)",chr02:24045244..24048294 (+ strand),"SAMDC2, SamDC2, AdoMetDC2, OsSAMDC2 ; SamDC2, AdoMetDC2, OsSAMDC2 ; SAMDC2","S-ADENOSYLMETHIONINE DECARBOXYLASE 2, S-adenosylmethionine decarboxylase 2 ; S-adenosylmethionine decarboxylase 2 ; S-ADENOSYLMETHIONINE DECARBOXYLASE 2",Biological Process: spermidine biosynthetic process (GO:0008295) spermine biosynthetic process (GO:0006597)Molecular Function: adenosylmethionine decarboxylase activity (GO:0004014)
542,OS02G0654700,Os02t0654700-01,"AP2/ERF family protein, Abiotic stress response (Os02t0654700-01)",chr02:26422187..26423485 (- strand),"ERF91, OsERF#091, OsERF091, OsERF91, AP59, OsAP59, AP2/EREBP#147, AP2/EREBP147, OsBIERF3, BIERF3 ; OsERF#091, OsERF091, OsERF91, AP59, OsAP59, AP2/EREBP#147, AP2/EREBP147, OsBIERF3, BIERF3, OsERF3 ; ERF91","ETHYLENE RESPONSE FACTOR 91, Apetela2 transcription factor 59, ethylene response factor 91, ETHYLENE-RESPONSIVE ELEMENT-BINDING FACTOR 91, APETALA2/ethylene-responsive element binding protein 147, benzothiadiazole (BTH)-induced ethylene responsive transcriptional factor 3, benzothiadiazole-induced ethylene responsive transcriptional factor 3, BTH-induced ethylene responsive transcriptional factor 3, BTH-induced ERF transcriptional factor 3 ; Apetela2 transcription factor 59, ethylene response factor 91, ETHYLENE-RESPONSIVE ELEMENT-BINDING FACTOR 91, APETALA2/ethylene-responsive element binding protein 147, benzothiadiazole (BTH)-induced ethylene responsive transcriptional factor 3, benzothiadiazole-induced ethylene responsive transcriptional factor 3, BTH-induced ethylene responsive transcriptional factor 3, BTH-induced ERF transcriptional factor 3 ; ETHYLENE RESPONSE FACTOR 91",Biological Process: ethylene-activated signaling pathway (GO:0009873) regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
543,OS02G0657000,Os02t0657000-01,"DREB-like protein, AP2/EREBP-type transcription factor, Drought tolerance, Seed germination, Response to abiotic stress (Os02t0657000-01)",chr02:26550965..26552002 (+ strand),"ARAG1, OsAP211",ABA responsive AP2-like gene 1,Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
544,OS02G0663800,Os02t0663800-01,"Actin depolymerizing factor, Actin-binding protein, Abiotic stress response (Os02t0663800-01)",chr02:26919906..26922028 (- strand),OsADF1 ; ADF1,actin depolymerizing factor 1 ; ACTIN DEPOLYMERIZING FACTOR 1,Biological Process: actin filament depolymerization (GO:0030042)Molecular Function: actin binding (GO:0003779)Cellular Component: actin cytoskeleton (GO:0015629)
545,OS02G0671100,Os02t0671100-01,"F-box domain protein, Regulation of root growth, Negative role in response to abiotic stress (Os02t0671100-01)",chr02:27248839..27250065 (+ strand),"MAIF1 ; MAIF1, OsFbox104, Os_F0528, OsFBDUF13, FBDUF13","miRNAs regulated and abiotic stress induced F-box gene 1 ; miRNAs regulated and abiotic stress induced F-box gene 1, F-box protein 104, F-box-type E3 ubiquitin ligase FBDUF13",Molecular Function: protein binding (GO:0005515)
546,OS02G0705300,Os02t0705300-01 ; Os02t0705300-02 ; Os02t0705300-03 ; Os02t0705300-04,"Tubby like protein, Abiotic stress signalling (Os02t0705300-01) Similar to cDNA clone:J013000H10, full insert sequence. (Os02t0705300-02) Tubby family protein. (Os02t0705300-03) Similar to cDNA clone:J013000H10, full insert sequence. (Os02t0705300-04)",chr02:29108515..29112062 (+ strand),"OsFBT4 ; OsTLP8, LP8, OsTLP8a, OsTLP8b, OsTLP8c, OsTLP8d, OsTLP5, OsFbox107, Os_F0446, OsFBT4, FBT4 ; TLP5","tubby-like protein 8, tubby-like protein 5, F-box protein 107, F-box-type E3 ubiquitin ligase T4 ; TUBBY-LIKE PROTEIN 5",Molecular Function: protein binding (GO:0005515)
547,OS02G0760300,Os02t0760300-01,"Rice immunophilin homolog, FK506-binding protein, Negative regulation of biotic and abiotic stress response (Os02t0760300-01)",chr02:32017761..32019838 (- strand),OsFKBP12 ; FKBP12,FK506-binding protein 12 ; FK506 binding protein 12 ; FK506 BINDING PROTEIN 12,Molecular Function: peptidyl-prolyl cis-trans isomerase activity (GO:0003755)
548,OS02G0782700,Os02t0782700-01 ; Os02t0782700-02,"AP2/ERF transcription factor, Defense response, Abiotic stress response (Os02t0782700-01) Similar to Transcription factor EREBP1. (Os02t0782700-02)",chr02:33199818..33202681 (- strand),"EREBP1, OsEREBP1, OsERF#070, OsERF070, OsERF70, ERF70, AP2/EREBP#084, AP2/EREBP84 ; OsEREBP1, OsERF#070, OsERF070, OsERF70, ERF70, AP2/EREBP#084, AP2/EREBP84 ; EREBP1","ETHYLENE-RESPONSIVE ELEMENT-BINDING PROTEIN 1, ethylene-responsive element-binding protein 1, Ethylene-responsive transcription factor 1, Ethylene-responsive element-binding factor 1, ethylene response factor 70, APETALA2/ethylene-responsive element binding protein 84 ; ethylene-responsive element-binding protein 1, ETHYLENE-RESPONSIVE ELEMENT BINDING PROTEIN1, Ethylene-responsive transcription factor 1, Ethylene-responsive element-binding factor 1, ethylene response factor 70, APETALA2/ethylene-responsive element binding protein 84 ; ETHYLENE-RESPONSIVE ELEMENT-BINDING PROTEIN 1",Biological Process: ethylene-activated signaling pathway (GO:0009873) regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677) DNA-binding transcription factor activity (GO:0003700)
549,OS02G0813500,Os02t0813500-01 ; Os02t0813500-02 ; Os02t0813500-03,"Glutathione reductase, Abiotic stress tolerance (Os02t0813500-01) Similar to Glutathione reductase, cytosolic. (Os02t0813500-02) Similar to Glutathione reductase, cytosolic. (Os02t0813500-03)",chr02:34837853..34843851 (+ strand),"OsGR ; OsGR2, RGRC2, OsGR, OsGR3, OsRGRC2, OsGRase ; GR2","glutathione reductase ; glutathione reductase 2, glutathione reductase ; GLUTATHIONE REDUCTASE 2","Biological Process: cell redox homeostasis (GO:0045454) glutathione metabolic process (GO:0006749)Molecular Function: flavin adenine dinucleotide binding (GO:0050660) glutathione-disulfide reductase (NADPH) activity (GO:0004362) NADP binding (GO:0050661) oxidoreductase activity (GO:0016491) oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor (GO:0016668)"
550,OS03G0108600,Os03t0108600-01,"DEAD-box RNA helicase, Early chloroplast development under cold stress, Cold tolerance, Defence responses against biotic and abiotic stresses (Os03t0108600-01)",chr03:505922..509002 (+ strand),"TCD33, OsBIRH1 ; OsRH50, OsBIRH1","thermo-sensitive chlorophyll-deficient, BTH-induced RNA helicase 1 ; RNA helicase 50, BTH-induced RNA helicase 1",Molecular Function: ATP binding (GO:0005524) nucleic acid binding (GO:0003676) RNA helicase activity (GO:0003724)
551,OS03G0230300,Os03t0230300-01 ; Os03t0230300-02,"Homologue of SRO (similar to RCD one), Regulation of stomatal closure, Abiotic stress response (Os03t0230300-01) Non-protein coding transcript. (Os03t0230300-02)",chr03:6895178..6898355 (+ strand),"OsSRO1c ; OsSRO1c, SRO1c, OsBOC1 ; BOC1","SRO protein 1c ; SRO protein 1c, SIMILAR to RCD1 c, BROWNING OF CALLUS 1, SIMILAR to RCD ONE c ; BROWNING OF CALLUS1",Molecular Function: NAD+ poly-ADP-ribosyltransferase activity (GO:0003950)
552,OS03G0285800,Os03t0285800-01 ; Os03t0285800-02,"Mitogen-activated protein kinase 5, BTH-induced MAPK 1, Disease resistance, Abiotic stress tolerance, Positively regulation of drought, salt and cold tolerance, (Os03t0285800-01) MAP Kinase. (Os03t0285800-02)",chr03:9847723..9850384 (- strand),"OsMAPK5, MPK5, OsBIMK1 ; OsMSRMK2, OsMAPK5, OsMAP1, OsMPK3, OsBIMK1, OsMAPK2, MPK5, BIMK1, MAPK2, MAPK5, MPK3, OsMPK5, OsMAPK3, OsMAPK5b, MAPK3 ; MSRMK2","mitogen-activated protein kinase 5, BTH-induced MAPK 1 ; multiple stress responsive MAP kinase 2, Mitogen-activated protein kinase 5, MAP kinase 5, Benzothiadiazole-induced MAP kinase 1, BTH-induced MAPK 1, MAP kinase 2, Multiple stress-responsive MAP kinase 2, MAP kinase 3 ; MULTIPLE STRESS RESPONSIVE MAP KINASE 2",Biological Process: protein phosphorylation (GO:0006468)Molecular Function: ATP binding (GO:0005524) MAP kinase activity (GO:0004707) protein kinase activity (GO:0004672)
553,OS03G0319400,Os03t0319400-01 ; Os03t0319400-02 ; Os03t0319400-03,"Serine/threonine protein kinase, Cold stress tolerance, Abiotic stresses (Os03t0319400-01) Similar to CBL-interacting protein kinase 3. (Os03t0319400-02) Similar to CBL-interacting protein kinase 3. (Os03t0319400-03)",chr03:11526273..11531969 (- strand),"CK1, OsCK1, CIPK31, OsCIPK31, Os-CIPK3 ; OsCK1, CIPK31, OsCIPK31, Os-CIPK3, OsSnRK3.11, SnRK3.11 ; CK1","CIPK-LIKE PROTEIN 1, CBL-interacting protein kinase 31, CIPK-like protein 1 ; CBL-interacting protein kinase 31, CIPK-like protein 1, Sucrose nonfermenting-1-related protein kinase 3.11, calcineurin B-like interacting protein kinase 31 ; CIPK-LIKE PROTEIN 1",Biological Process: protein phosphorylation (GO:0006468) signal transduction (GO:0007165)Molecular Function: ATP binding (GO:0005524) protein kinase activity (GO:0004672)
554,OS03G0322900,Os03t0322900-01,"Late embryogenesis abundant (LEA) protein, Abiotic stress tolerance (Os03t0322900-01)",chr03:11699307..11700672 (- strand),"LEA17, OsLEA17, OsLEA3-2, LEA3-2 ; OsLEA17, OsLEA3-2, LEA3-2, LEA1 ; LEA17","LATE EMBRYOGENESIS ABUNDANT PROTEIN 17, late embryogenesis abundant protein 17 ; late embryogenesis abundant protein 17 ; LATE EMBRYOGENESIS ABUNDANT PROTEIN 17",
555,OS03G0327800,Os03t0327800-01,"NAC Family transcriptional activator, Abiotic stress response, Positive regulator of leaf senescence (Os03t0327800-01)",chr03:11973989..11976381 (- strand),"NAC58, OsNAP, ONAC058, ONAC58, PS1 ; OsNAP, NAP, ONAC058, ONAC58, Os PS1, PS1, OsCTb1, CTb1 ; NAC58","NAC DOMAIN-CONTAINING PROTEIN 58, NAC Family Transcription Factor OsNAP, NAC domain-containing protein 058, NAC domain-containing protein 58, prematurely senile 1 ; NAC Family Transcription Factor OsNAP, NAC domain-containing protein 058, NAC domain-containing protein 58, prematurely senile 1 ; NAC DOMAIN-CONTAINING PROTEIN 58",Biological Process: regulation of DNA-templated transcription (GO:0006355)Molecular Function: DNA binding (GO:0003677)
556,OS03G0348900,Os03t0348900-01 ; Os03t0348900-02,"Similar to CHY zinc finger family protein, expressed. (Os03t0348900-01) Ring finger E3 ubiquitin ligase, Abiotic stress tolerance, Phosphate homeostasis, Positive regulation of Pi accumulation and Pi signaling (Os03t0348900-02)",chr03:13095799..13098282 (- strand),"OsSRFP1, SDEL2 ; OsSRFP1, OsRING157, RING157, SDEL2, OsSDEL2 ; SRFP1","Stress-related RING Finger Protein 1, SPX4 degradation E3 ligase 2 ; Stress-related RING Finger Protein 1, RING-type E3 ubiquitin ligase 157, SPX4 degradation E3 ligase 2 ; STRESS-RELATED RING FINGER PROTEIN 1",Molecular Function: zinc ion binding (GO:0008270)
557,OS03G0369800,Os03t0369800-01,"Qb-SNARE (soluble N-ethylmaleimide-sensitive factor attachment protein receptor) protein, Abiotic stress response (Os03t0369800-01)",chr03:14514243..14518369 (- strand),"OsNPSN12 ; OsNPSN12, OryzaNPSN12 ; NPSN12",novel plant SNARE 12 ; SNARE 12 ; NOVEL PLANT SNARE 12,Molecular Function: SNAP receptor activity (GO:0005484)Cellular Component: SNARE complex (GO:0031201)
558,OS03G0643300,Os03t0643300-02,"Ornithine delta-aminotransferase, Abiotic stress tolerance, Nitrogen reutilization, Floret development and seed setting (Os03t0643300-02)",chr03:24810090..24818037 (- strand),"OsOAT ; OsOAT, delta-OAT ; OAT","ornithine delta-aminotransferase, ornithine aminotransferase ; ORNITHINE DELTA-AMINOTRANSFERASE",Molecular Function: ornithine aminotransferase activity (GO:0004587) pyridoxal phosphate binding (GO:0030170) transaminase activity (GO:0008483)
559,OS03G0710800,Os03t0710800-01,"Member of the 14-3-3 protein family, Negative regulation of grain filling of inferior spikelets, Response to biotic and abiotic stress (Os03t0710800-01)",chr03:28664068..28667703 (+ strand),"GF14f, SR14-3-3 ; GF14f, SR14-3-3, OsGF14f, S94, ric1, 14-3-3f ; GF14F","G-box factor 14-3-3f ; G-box factor 14-3-3f protein, ras-related small GTP-binding protein ric1 ; G-BOX FACTOR 14-3-3F PROTEIN",
560,OS03G0757500,Os03t0757500-01,"UDP-glucosyltransferase, Regulation of grain size and abiotic stress tolerance (Os03t0757500-01)",chr03:31299182..31301001 (+ strand),"GSA1 ; OsGSA1, UGT83A1, OsUGT83A1","Grain Size and Abiotic stress tolerance 1 ; Grain Size and Abiotic stress tolerance 1, UDP-glucosyltransferase 83A1 ; GRAIN SIZE AND ABIOTIC STRESS TOLERANCE 1",Molecular Function: UDP-glycosyltransferase activity (GO:0008194)
561,OS03G0780400,Os03t0780400-01,"Actin depolymerizing factor, Actin-binding protein, Abiotic stress response (Os03t0780400-01)",chr03:32360719..32363837 (- strand),OsADF2 ; OsADF ; ADF2,actin depolymerizing factor 2 ; ACTIN DEPOLYMERIZING FACTOR 2,Biological Process: actin filament depolymerization (GO:0030042)Molecular Function: actin binding (GO:0003779)Cellular Component: actin cytoskeleton (GO:0015629)
562,OS03G0820300,Os03t0820300-01,"TFIIIA-type zinc finger protein, Transcription activator, Abiotic stress tolerance (Os03t0820300-01)",chr03:34424180..34425030 (+ strand),"ZFP182 ; OsZFP182, ZOS3-21, OsZOS3-21, ZOS3, OsZOS3 ; ZFP182, ZOS3-21","zinc finger protein ZFP182, zinc finger protein 182 ; zinc finger protein ZFP182, zinc finger protein 182, zinc-finger protein TFIIIA class of Oryza sativa 3-21, ZPT of Oryza sativa 3-21 ; ZINC FINGER PROTEIN 182, ZINC-FINGER PROTEIN TFIIIA CLASS OF ORYZA SATIVA 3-21",
563,OS03G0820500,Os03t0820500-01,"Actin depolymerizing factor, Actin-binding protein, Abiotic stress response (Os03t0820500-01)",chr03:34430457..34431364 (+ strand),OsADF3 ; ADF3,actin depolymerizing factor 3 ; ACTIN DEPOLYMERIZING FACTOR 3,Biological Process: actin filament depolymerization (GO:0030042)Molecular Function: actin binding (GO:0003779)Cellular Component: actin cytoskeleton (GO:0015629)
564,OS03G0832300,Os03t0832300-01,"Huntingtin interacting protein, Chaperone-like protein, Positive regulation of N-terminal acetyltransferase A activity, Coordination of plant development and abiotic stress responses (Os03t0832300-01)",chr03:34957024..34959386 (- strand),OsHYPK ; HYPK,Huntingtin Yeast partner K ; HUNTINGTIN YEAST PARTNER K,
565,OS03G0858100,Os03t0858100-01 ; Os03t0858100-02,"Nuclear export receptor, Regulation of plant development and abiotic stress responses (Os03t0858100-01) Similar to predicted protein. (Os03t0858100-02)",chr03:36212766..36223132 (- strand),OsXPO1 ; XPO1,exportin 1 ; EXPORTIN 1,Biological Process: intracellular protein transport (GO:0006886) protein export from nucleus (GO:0006611)Molecular Function: nuclear export signal receptor activity (GO:0005049) small GTPase binding (GO:0031267)
566,OS04G0341500,Os04t0341500-01 ; Os04t0341500-02,"Similar to OSIGBa0159H11-OSIGBa0137A07.8 protein. (Os04t0341500-01) Terpene synthase, (S)-limonene synthase, Response to abiotic stress, Suppression of a rice bacterial blight (Os04t0341500-02)",chr04:16151639..16162828 (- strand),"OsTPS20 ; OsTPS20, TPS41, OsTPS41 ; TPS20",terpene synthase 20 ; TERPENE SYNTHASE 20,Biological Process: diterpenoid biosynthetic process (GO:0016102) terpenoid biosynthetic process (GO:0016114)Molecular Function: lyase activity (GO:0016829) magnesium ion binding (GO:0000287) terpene synthase activity (GO:0010333)
567,OS04G0462400,Os04t0462400-01,"Lysine and histidine transporter 4, Negative regulation of abiotic stress (Os04t0462400-01)",chr04:23097997..23100389 (- strand),"OsLHT4 ; OsLHT9, OsLHT4, LHT4 ; LHT9","lysine and histidine transporter 4 ; lysine-histidine-like transporter 9, lysine and histidine transporter 4 ; LYSINE-HISTIDINE-LIKE TRANSPORTER 9",
568,OS04G0498600,Os04t0498600-01 ; Os04t0498600-02,"S-adenosylmethionine decarboxylase, Polyamine biosynthesis, Salt and drought stresses, Abiotic stress (Os04t0498600-01) Similar to cDNA clone:J013002M21, full insert sequence. (Os04t0498600-02)",chr04:24915054..24918786 (+ strand),"SAMDC, SamDC, AdoMetDC, AdoMetDC1, OsSAMDC1 ; SamDC, AdoMetDC, AdoMetDC1, OsSAMDC1 ; SAMDC","S-ADENOSYLMETHIONINE DECARBOXYLASE, S-adenosylmethionine decarboxylase, S-adenosylmethionine decarboxylase proenzyme, S-adenosylmethionine decarboxylase alpha chain, S-adenosylmethionine decarboxylase beta chain, S-adenosylmethionine decarboxylase 1 ; S-adenosylmethionine decarboxylase, S-adenosylmethionine decarboxylase proenzyme, S-adenosylmethionine decarboxylase alpha chain, S-adenosylmethionine decarboxylase beta chain, S-adenosylmethionine decarboxylase 1 ; S-ADENOSYLMETHIONINE DECARBOXYLASE",Biological Process: spermidine biosynthetic process (GO:0008295) spermine biosynthetic process (GO:0006597)Molecular Function: adenosylmethionine decarboxylase activity (GO:0004014)
569,OS04G0522500,Os04t0522500-01,"Gibberellin (GA) 2-oxidase, Regulation of plant stature, Abiotic and biotic stress tolerance (Os04t0522500-01)",chr04:26130711..26134356 (- strand),"GA2ox6, OsGA2ox6 ; OsGA2ox6 ; GA2OX6","GA 2-oxidase 6, gibberellin 2-oxidase 6 ; GA 2-oxidase 6 ; GIBBERELLIN 2-OXIDASE 6",
570,OS04G0562100,Os04t0562100-01,"Lysine and histidine transporter 5, Negative regulation of abiotic stress (Os04t0562100-01)",chr04:28137735..28139899 (- strand),"OsLHT5 ; OsLHT7, OsLHT5, LHT5 ; LHT7","lysine and histidine transporter 5 ; lysine-histidine-like transporter 7, lysine and histidine transporter 5 ; LYSINE-HISTIDINE-LIKE TRANSPORTER 7",
571,OS05G0195200,Os05t0195200-01,"CCCH-tandem zinc finger protein, Photomorphogenesis and ABA responses, Abiotic stress tolerance (Os05t0195200-01)",chr05:5846703..5848186 (- strand),"C3H35, OsC3H35, OsTZF1, OsCCCH-Zn-3 ; OsC3H35, OsTZF1, OsCCCH-Zn-3 ; C3H35","ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 35, Zinc finger CCCH domain-containing protein 35, Protein DELAY OF THE ONSET OF SENESCENCE-like, Tandem zinc finger protein 1 ; Zinc finger CCCH domain-containing protein 35, Protein DELAY OF THE ONSET OF SENESCENCE-like, Tandem zinc finger protein 1 ; ZINC FINGER CCCH DOMAIN-CONTAINING PROTEIN 35",Molecular Function: metal ion binding (GO:0046872)
572,OS05G0213500,Os05t0213500-01,"Rice orthologue of the abscisic acid (ABA) receptor, Positive regulator of the ABA signal transduction pathway, Abiotic stress tolerance (Os05t0213500-01)",chr05:7034322..7036548 (+ strand),"OsPYL/RCAR5, PYL5, OsPYL5, OsPYL11 ; OsPYL/RCAR5, PYL5, OsPYL5, OsPYL11, PYL11 ; PYL/RCAR5","PYRABACTIN RESISTANCE 1 LIKE/REGULATORY COMPONENTS OF ABA RECEPTOR 5 ; pyrabactin resistance-like 5, PYR1-like 11, pyrabactin resistance 1-like 11",
573,OS05G0247100,Os05t0247100-01 ; Os05t0247100-02,"Similar to Glycosyl hydrolases family 18. (Os05t0247100-01) Chitinase III protein, Xylanase inhibitor, Regulation of abiotic stress response, Resistance to herbivores (Os05t0247100-02)",chr05:8902501..8903789 (- strand),"DIP3, XIP, OsHI-XIP ; DIP3, XIP, OsHI-XIP, OsXIP2, XIP2","drought-induced protein 3, Xylanase inhibitor protein 2",Biological Process: carbohydrate metabolic process (GO:0005975)
574,OS05G0286100,Os05t0286100-01,"Zinc finger protein, Adaptability of rice roots to abiotic stress (Os05t0286100-01)",chr05:12308251..12309287 (+ strand),"OsZFP350 ; OsZFP350, OsZOS5-07 ; ZFP350, ZOS5-07","zinc finger protein 350 ; zinc finger protein ZFP350, zinc-finger protein TFIIIA class of Oryza sativa 5-07, ZPT of Oryza sativa 5-07 ; ZINC FINGER PROTEIN 350, ZINC-FINGER PROTEIN TFIIIA CLASS OF ORYZA SATIVA 5-07",
575,OS05G0475400,Os05t0475400-01 ; Os05t0475400-02,"Similar to Alanine:glyoxylate aminotransferase-like protein (Fragment). (Os05t0475400-01) Aminotransferase, Regulation of abiotic stress responses (Os05t0475400-02)",chr05:23356169..23360022 (- strand),"Osh36, OsAMTR1, AMTR1 ; Osh36, OsH36, H36, OsAMTR1 ; AMTR1","alanine:glyoxylate aminotransferase-like protein, aminotransferase 1 ; AMINOTRANSFERASE 1",Molecular Function: pyridoxal phosphate binding (GO:0030170) transaminase activity (GO:0008483)
576,OS05G0497600,Os05t0497600-01,"Arsenic-induced RING E3 ligase, Abiotic stress response (Os05t0497600-01)",chr05:24473136..24478871 (+ strand),"OsAIR1, AIR1 ; OsAIR1, AIR1, OsRING172, RING172","arsenic-induced RING E3 ligase 1, ARSENIC-INDUCED RING E3 LIGASE 1 ; arsenic-induced RING E3 ligase 1, ARSENIC-INDUCED RING E3 LIGASE 1, As-Induced RING E3 ligase 1, RING-type E3 ubiquitin ligase 172",
577,OS05G0518600,Os05t0518600-01 ; Os05t0518600-02,"Similar to SL-TPS/P. (Os05t0518600-01) Trehalose-6-phosphate synthase, Abiotic stress tolerance (Os05t0518600-02)",chr05:25713833..25722087 (+ strand),OsTPS1 ; TPS1,trehalose-6-phosphate synthase 1 ; TREHALOSE-6-PHOSPHATE SYNTHASE 1,"Biological Process: trehalose biosynthetic process (GO:0005992)Molecular Function: alpha,alpha-trehalose-phosphate synthase (UDP-forming) activity (GO:0003825) catalytic activity (GO:0003824)"
578,OS06G0110200,Os06t0110200-01,"Late embryogenesis abundant (LEA) protein, Abiotic stress response (Os06t0110200-01)",chr06:593577..594130 (+ strand),"OsLEA4 ; OsLEA2, OsLEA4, LEA4 ; LEA2","late embryogenesis abundant protein 4 ; late embryogenesis abundant protein 2, late embryogenesis abundant protein 4 ; LATE EMBRYOGENESIS ABUNDANT PROTEIN 2",Biological Process: embryo development ending in seed dormancy (GO:0009793)
579,OS06G0166500,Os06t0166500-01,"Aux/IAA protein, Mediation of abiotic stress tolerance, Drought and salt tolerance (Os06t0166500-01)",chr06:3342464..3346318 (- strand),OsIAA20 ; IAA20,"Aux/IAA protein 20 ; Aux/IAA protein 20, Indoleacetic Acid-Induced 20 ; AUX/IAA PROTEIN 20",Biological Process: regulation of DNA-templated transcription (GO:0006355)Cellular Component: nucleus (GO:0005634)
